machine_category,category_data_note,name,abrasive_flow_rate_kg_min,annual_maintenance_factor_pct,avg_utilization,bed_height_mm,bed_length_mm,bed_width_mm,bend_cycle_time_s,const_coeff_cycle_time,const_coeff_handling_time,csink_tool_avg_cost_usd,cut_speed_s,data_source,de_nesting_method,description,direct_overhead_rate_usd_hr,footprint_allowance_factor,form_tool_avg_cost_usd,good_part_yield,indirect_overhead_rate_usd_hr,installation_factor_pct,is_preferred,labor_rate_usd_hr,labor_time_standard,machine_length_mm,machine_life_yr,machine_manufacturer_location,machine_power_kw,machine_price_usd,machine_uptime_pct,machine_width_mm,mass_coeff_cycle_time,mass_coeff_handling_time_s_kg,max_bend_length_mm,max_form_depth_mm,max_multi_pass_thickness_mm,max_part_length_mm,max_part_width_mm,max_punch_size_mm,max_radius_to_thickness_ratio,max_rpm_rev_min,max_sheet_length_mm,max_sheet_width_mm,max_single_pass_thickness_mm,max_thickness_1_mm,max_thickness_2_mm,max_thickness_3_mm,max_thickness_4_mm,max_thickness_5_mm,max_thickness_aluminum_mm,max_thickness_brass_mm,max_thickness_copper_mm,max_thickness_stainless_steel_mm,max_thickness_steel_mm,max_tool_overlap_mm,min_multi_pass_diameter_mm,min_single_pass_diameter_mm,mixing_tube_diameter_mm,nibble_rate_cycles_min,nibble_tool_diameter_mm,nibble_tool_overlap_mm,nominal_sheet_size_length_mm,nominal_sheet_size_width_mm,note,nozzle_delay_s,number_of_heads,number_of_nozzles,number_of_operators,number_of_tool_stations,optimization_factor,orifice_diameter_mm,overhead_multiplier,paired_form_threshold_mm,perf_tool_avg_cost_usd,perforation_proximity_threshold_mm,perimeter_allowance_s_per_mm,pitch_margin_mm,power_watts,prebend_time_s,press_cycle_time_s,press_force_kn,press_table_length_mm,press_table_width_mm,pressure_n_mm2,punch_rate_cycles_min,rapid_traverse_rate_mm_min,reference_yield_strength_mpa,roll_width_mm,roll_working_length_mm,rolling_speed_mm_s,salvage_value_factor_pct,scrap_cuts_per_sheet,setup_time_hr,sheet_length_mm,sheet_length_trim_strip_mm,sheet_width_mm,sheet_width_trim_strip_mm,shut_height_mm,shuttle_time_s,side_margin_mm,small_feature_feed_radius_mm,small_feature_thickness_ratio,special_hole_tool_avg_cost_usd,special_tool_setup_hr,steel_thickness_mm,straight_length_1_mm,straight_length_2_mm,straight_length_3_mm,straight_length_4_mm,straight_length_5_mm,strokes_per_min,supplies_cost_usd_yr,tool_change_time_s,top_roll_diameter_mm,trim_strip_width_mm,wage_grade_name,weight_kg,work_center_labor_rate_factor
3 Roll Bender,,Faccin HCU 300 X 1,,5.0,1.0,,,,,,,,,the system Baseline,,,1.86,5.0,,1.0,13.99,20.0,FALSE,43.21,1.0,451.1,10,Italy,2.98,23300.0,80.0,798.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,296.0,,300.0,101.6,0.0,,0.5,,,,,,,,,,,,1.5,,,,,,,0.0,,200.0,,,,
3 Roll Bender,,Faccin HCU 550 X 5,,5.0,1.0,,,,,,,,,the system Baseline,,,4.47,5.0,,1.0,13.99,20.0,FALSE,43.21,1.0,826.01,10,Italy,5.59,59000.0,80.0,438.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,296.0,,550.0,116.84,0.0,,0.5,,,,,,,,,,,,5.0,,,,,,,0.0,,110.0,,,,
3 Roll Bender,,3 Roll Bender - 12200mm Roll Length x 84mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,116.64,5.0,,1.0,28.82,20.0,TRUE,43.21,1.0,14600.0,10,Virtual,171.0,1500000.0,80.0,2400.0,,,,,20.0,,,,,,,,15.0,,,,,,,,,,,,185.3,107.5,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,12200.0,70.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,84.0,,,7000.0,
3 Roll Bender,,3 Roll Bender - 2000mm Roll Length x 150mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,3.63,5.0,,1.0,15.14,20.0,TRUE,43.21,1.0,3400.0,10,Virtual,6.0,45000.0,80.0,900.0,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,596.9,180.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,2000.0,80.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,150.0,,,1500.0,
3 Roll Bender,,3 Roll Bender - 2500mm Roll Length x 225mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,6.35,5.0,,1.0,15.29,20.0,TRUE,43.21,1.0,4750.0,10,Virtual,8.0,85000.0,80.0,1350.0,,,,,8.0,,,,,,,,6.0,,,,,,,,,,,,596.9,280.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,2500.0,80.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,225.0,,,2500.0,
3 Roll Bender,,3 Roll Bender - 3200mm Roll Length x 400mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,17.4,5.0,,1.0,19.42,20.0,TRUE,43.21,1.0,5440.0,10,Virtual,25.0,225000.0,80.0,2400.0,,,,,20.0,,,,,,,,15.0,,,,,,,,,,,,596.9,425.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,3200.0,70.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,400.0,,,5000.0,
3 Roll Bender,,3 Roll Bender - 6100mm Roll Length x 65mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,50.08,5.0,,1.0,22.56,20.0,TRUE,43.21,1.0,8500.0,10,Virtual,71.0,650000.0,80.0,2400.0,,,,,20.0,,,,,,,,15.0,,,,,,,,,,,,143.4,83.2,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,6100.0,70.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,65.0,,,5000.0,
3 Roll Bender,,3 Roll Bender - 9000mm Roll Length x 84mm Roll Diameter,,5.0,1.0,,,,,,,,,the system Baseline,,,84.57,5.0,,1.0,25.53,20.0,TRUE,43.21,1.0,11400.0,10,Virtual,119.0,1100000.0,80.0,2400.0,,,,,20.0,,,,,,,,15.0,,,,,,,,,,,,185.3,107.5,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,9000.0,70.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,84.0,,,6000.0,
3 Roll Bender,,Bertsch 25-10,,5.0,1.0,,,,,,,,,the system Baseline,,,5.67,5.0,,1.0,18.91,20.0,FALSE,43.21,1.0,5842.0,10,USA,7.45,75000.0,80.0,2032.0,,,,,6.76,,,,,,,,5.16,,,,,,,,,,,,444.5,279.4,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,3048.0,71.72,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,229.0,,,2700.0,
3 Roll Bender,,Bertsch 37-10,,5.0,1.0,,,,,,,,,the system Baseline,,,9.47,5.0,,1.0,18.91,20.0,FALSE,43.21,1.0,5842.0,10,USA,18.63,110000.0,80.0,2032.0,,,,,9.53,,,,,,,,7.54,,,,,,,,,,,,482.6,315.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,3048.0,71.72,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,267.0,,,3500.0,
3 Roll Bender,,Bertsch 50-08,,5.0,1.0,,,,,,,,,the system Baseline,,,9.22,5.0,,1.0,18.29,20.0,FALSE,43.21,1.0,5425.44,10,USA,8.94,130000.0,80.0,1920.24,,,,,12.7,,,,,,,,9.53,,,,,,,,,,,,520.7,353.1,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,3048.0,71.12,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,356.0,,,3375.0,
3 Roll Bender,,Bertsch 75-10,,5.0,1.0,,,,,,,,,the system Baseline,,,17.26,5.0,,1.0,19.27,20.0,FALSE,43.21,1.0,5735.32,10,USA,26.08,220000.0,80.0,2217.42,,,,,19.05,,,,,,,,14.3,,,,,,,,,,,,596.9,429.5,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,310.0,,3048.0,71.12,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,381.0,,,4800.0,
3 Roll Bender,,Faccin ASI/M 1513,,5.0,1.0,,,,,,,,,the system Baseline,,,3.89,5.0,,1.0,17.28,20.0,FALSE,43.21,1.0,4942.0,10,Italy,11.0,36806.89,80.0,1630.0,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,333.2,169.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,1500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,130.0,,,1075.0,
3 Roll Bender,,Faccin ASI/M 1515,,5.0,1.0,,,,,,,,,the system Baseline,,,5.06,5.0,,1.0,16.37,20.0,FALSE,43.21,1.0,4942.0,10,Italy,4.0,73613.78,80.0,1200.0,,,,,6.0,,,,,,,,5.0,,,,,,,,,,,,353.2,195.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,1500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,150.0,,,1400.0,
3 Roll Bender,,Faccin ASI/M 1517,,5.0,1.0,,,,,,,,,the system Baseline,,,4.85,5.0,,1.0,14.45,20.0,FALSE,43.21,1.0,2399.39,10,Italy,3.73,70866.14,80.0,599.85,,,,,8.0,,,,,,,,6.0,,,,,,,,,,,,373.2,221.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,1500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,170.0,,,1630.0,
3 Roll Bender,,Faccin ASI/M 2013,,5.0,1.0,,,,,,,,,the system Baseline,,,5.79,5.0,,1.0,14.43,20.0,FALSE,43.21,1.0,1999.49,10,Italy,5.21,82677.17,80.0,699.82,,,,,3.0,,,,,,,,2.5,,,,,,,,,,,,333.2,169.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2000.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,130.0,,,1200.0,
3 Roll Bender,,Faccin ASI/M 2015,,5.0,1.0,,,,,,,,,the system Baseline,,,7.45,5.0,,1.0,14.79,20.0,FALSE,43.21,1.0,2499.36,10,Italy,6.71,106299.21,80.0,899.77,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,353.2,195.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2000.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,150.0,,,1630.0,
3 Roll Bender,,Faccin ASI/M 2017,,5.0,1.0,,,,,,,,,the system Baseline,,,3.42,5.0,,1.0,14.58,20.0,FALSE,43.21,1.0,2899.26,10,Italy,3.73,47244.09,80.0,599.85,,,,,6.0,,,,,,,,5.0,,,,,,,,,,,,373.2,221.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2000.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,170.0,,,1970.0,
3 Roll Bender,,Faccin ASI/M 2513,,5.0,1.0,,,,,,,,,the system Baseline,,,4.36,5.0,,1.0,14.58,20.0,FALSE,43.21,1.0,2499.36,10,Italy,5.21,59055.12,80.0,699.82,,,,,2.0,,,,,,,,1.5,,,,,,,,,,,,333.2,169.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,130.0,,,1375.0,
3 Roll Bender,,Faccin ASI/M 2515,,5.0,1.0,,,,,,,,,the system Baseline,,,6.02,5.0,,1.0,14.99,20.0,FALSE,43.21,1.0,2999.23,10,Italy,6.71,82677.17,80.0,899.77,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,353.2,195.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,150.0,,,1860.0,
3 Roll Bender,,Faccin ASI/M 2517,,5.0,1.0,,,,,,,,,the system Baseline,,,2.71,5.0,,1.0,14.7,20.0,FALSE,43.21,1.0,3399.13,10,Italy,3.73,35433.07,80.0,599.85,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,373.2,221.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2500.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,170.0,,,2220.0,
3 Roll Bender,,Knuth KRB 2513,,5.0,1.0,,,,,,,,,the system Baseline,,,3.65,5.0,,1.0,14.73,20.0,FALSE,43.21,1.0,2999.23,10,Germany,5.21,47244.09,80.0,699.82,,,,,16.0,,,,,,,,15.0,,,,,,,,,,,,1103.2,900.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,2600.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,300.0,,,7650.0,
3 Roll Bender,,Knuth KRM-5 30/4,,5.0,1.0,,,,,,,,,the system Baseline,,,5.3,5.0,,1.0,15.38,20.0,FALSE,43.21,1.0,3499.13,10,Germany,6.77,70866.14,80.0,899.77,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,488.2,285.0,,,,,,,possible duplicate entry with near-identical values seen twice in source data,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,3100.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,190.0,,,4600.0,
3 Roll Bender,,Knuth KRM-5 30/4 (duplicate entry),,5.0,1.0,,,,,,,,,the system Baseline,,,5.3,5.0,,1.0,15.18,20.0,FALSE,43.21,1.0,3499.13,10,Germany,6.71,70866.14,80.0,899.77,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,488.2,285.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,90.0,,,,,,,,296.0,,3100.0,81.28,0.0,,0.5,,,,,,,,,,,,,,,,,,,0.0,,190.0,,,4600.0,
3D Laser Cutting Machine,,3D Laser - 3300 Watts,,5.0,0.73,600.0,4300.0,2800.0,,,,,,,,,18.87,1.5,,1.0,21.81,20.0,TRUE,36.3,1.0,6375.4,10,Virtual,4.71,300000.0,80.0,9753.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3300.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,3D Laser - 5000 Watts,,5.0,0.73,800.0,4300.0,2800.0,,,,,,,,,19.24,1.5,,1.0,21.81,20.0,TRUE,36.3,1.0,6375.4,10,Virtual,7.14,300000.0,80.0,9753.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,5000.0,,,,,,,,20000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,Default 3D Laser,,5.0,0.73,850.0,4300.0,2800.0,,,,,,,,,18.59,2.5,,1.0,21.81,20.0,FALSE,36.3,1.0,6375.4,10,USA,2.86,300000.0,80.0,9753.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,2000.0,,,,,,,,60000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML1515VZ10-20XF,,5.0,0.73,850.0,1520.0,1520.0,,,,,,,,,45.97,2.47,,1.0,16.35,20.0,FALSE,36.3,1.0,4489.0,10,Japan,51.85,630000.0,80.0,2650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,2000.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML1515VZ10-30CF-R,,5.0,0.73,600.0,1520.0,1520.0,,,,,,,,,52.42,2.47,,1.0,16.35,20.0,FALSE,36.3,1.0,4489.0,10,Japan,76.5,675000.0,80.0,2650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3000.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML3122VZ10-20XF,,5.0,0.73,850.0,3100.0,2200.0,,,,,,,,,51.55,1.78,,1.0,17.75,20.0,FALSE,36.3,1.0,7730.0,10,Japan,52.7,720000.0,80.0,3330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,2000.0,,,,,,,,35000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML3122VZ10-30CF-R,,5.0,0.73,850.0,3100.0,2200.0,,,,,,,,,58.0,1.78,,1.0,17.75,20.0,FALSE,36.3,1.0,7730.0,10,Japan,77.35,765000.0,80.0,3330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3000.0,,,,,,,,35000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML4322VZ10-20XF,,5.0,0.73,850.0,4300.0,2200.0,,,,,,,,,73.34,1.0,,1.0,18.69,20.0,FALSE,36.3,1.0,10620.0,10,Japan,52.7,1080000.0,80.0,5350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,2000.0,,,,,,,,35000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,ML4322VZ10-30CF-R,,5.0,0.73,850.0,4300.0,2200.0,,,,,,,,,79.79,1.0,,1.0,18.69,20.0,FALSE,36.3,1.0,10620.0,10,Japan,77.35,1125000.0,80.0,5350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3000.0,,,,,,,,35000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,NTC TLM-404 3300,,5.0,0.73,600.0,1300.0,1300.0,,,,,,,,,18.87,2.0,,1.0,17.62,20.0,FALSE,36.3,1.0,3657.0,10,USA,4.71,300000.0,80.0,6045.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3300.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,NTC TLM-404 5000,,5.0,0.73,600.0,1300.0,1300.0,,,,,,,,,19.24,2.0,,1.0,18.36,20.0,FALSE,36.3,1.0,3657.0,10,USA,7.14,300000.0,80.0,7239.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,5000.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
3D Laser Cutting Machine,,NTC TLM-608 3300,,5.0,0.73,600.0,2500.0,1900.0,,,,,,,,,18.87,2.0,,1.0,18.36,20.0,FALSE,36.3,1.0,3657.0,10,USA,4.71,300000.0,80.0,7239.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,0.0,,,,,,3300.0,,,,,,,,40000.0,,,,,0.0,0.0,0.08,,,,,,0.0,,5.0,,,,,,,,,,,0.0,,,,,,
